"理論在本質上是對人們構想的現實的一種抽象和符號化的表達。","Essentially, a theory is an abstract, symbolic, representation of what is conceived to be reality."
"受當代灌溉設施之賜，在原來只有仙人掌和山艾樹才能生存的地方，現在農作物也生長旺盛。","Thanks to modern irrigation, crops now grow abundantly in areas where once nothing but cacti and sagebrush could live."
"人類學家們已經發現恐懼、快樂、悲傷和驚奇會反映在臉部表情上，這在全人類都是共通的。","Anthropologists have discovered that fear, happiness, sadness, and surprise are universally reflected in facial expressions."
"在 1986 年看見哈雷彗星的千百萬人中，有多少人能夠長壽到足以目睹它在 21 世紀的回歸呢？","Of the millions who saw Haley's Comet in 1986, how many people will live long enough to see it return in the twenty-first century?"
"一個地方的人口越多，其對水、交通和垃圾處理的需求就會越大。","The greater the population there is in a locality, the greater the need there is for water, transportation, and disposal of refuse."
"完美搭配的珍珠串成的一條項鍊，能帶來比單顆售賣高得多的價錢。","Perfectly matched pearls, strung into a necklace, bring a far higher price than the same pearls sold individually."
"機械計時器的發展促使人們尋求更精確的日晷，以便校準機械計時器。","The development of mechanical timepieces spurred the search for more accurate sundials with which to regulate them."
"對地球重力場的研究表明，當被施加不尋常的重力時，地球的地殼和地函會發生變形。","Studies of the gravity field of the Earth indicate that its crust and mantle yield when unusual weight is placed on them."
"鵪鶉通常有短而圓的翅膀，這一特點讓他們可以在受到干擾時瞬間展翅起飛，飛離他們的躲藏地。","Quails typically have short rounded wings that enable them to spring into full flight instantly when disturbed in their hiding places."
"真菌在腐化過程中十分重要，腐化過程中將各種成分回饋於土壤，提高其肥力並分解動物殘骸。","Fungi are important in the process of decay, which returns ingredients to the soil, enhances soil fertility, and decomposes animal debris."
"大多數物質凝固時會收縮，所以他們的密度在固態時高於液態。","Most substance contract when they freeze so that the density of a substance's solid is higher than the density of its liquid."
"到了 20 世紀中期，美國的畫家和雕刻家們開始在世界中對藝術產生了重大影響。","By the middle of the twentieth century, painters and sculptors in the United States had begun to exert a great worldwide influence over art."
"雖然骨頭看起來堅硬，但它也顯示出一定的彈性，使得骨骼能夠承受較大的衝擊。","Although apparently rigid, bones exhibit a degree of elasticity that enables the skeleton to withstand considerable impact."
"最後，在應對呼吸道中的刺激物時，咳嗽反射引起的不是睡眠中的那種咳嗽，而是呼吸停止。","Finally, the coughing reflex in reaction to irritants in the airway produces not a cough during sleep but a cessation of breathing."
"但當消費者不知道自己正被遊說時，他們可能會接受原本懷疑的說法。","But when consumers do not know they are being lobbied, they may accept claims they would otherwise be suspicious of."
"購買者和銷售者都應該意識到技術方面的新發展，這些技術能夠且確實影響著營銷活動。","Buyers and sellers should be aware of new developments in technology which can and does affect marketing activities."
"隨著現代辦公室變得越來越呆板，設計師們正嘗試利用更加溫暖而不過於簡樸的內部裝飾來讓辦公室更有個性。","With moedern offices becoming more mechanized, designers are attempting to personalize them with warmer, less severer interiors."
"白蟻中的工蟻和兵蟻的階層由雄性和雌性共同組成，而女王永久地與一個雄姓配偶生活在一起。","The worker and soldier castes of termites consist of both males and females, and the queen lives permanently with a male consort."
"父母的教導是堅定的、始終如一的和理性的，孩子就傾向於具有高度的自信。","Children with parents whose guidance is firm, consistent, and relational are inclined to possess high levels of self-confidence."
"路克瑞莎·馬特的影響是如此巨大，以至於一些權威部門認定她是美國女權運動的發起人。","Lucretia Mott's influence was so significant that she has been creditedd by some authorities as the originator of feminism in the United States."
"沒有任何一項社會運動比給美國的移民增加教育設施更能積嗎伊莉莎白·威廉姆斯的熱情。","No social crusade aroused Elizabeth Williams' enthusiasm more than the expansion of educational facilities for immigrants to the United States."
"由於靠風傳播授粉的花不需要吸引昆蟲或其他動物，所以他們不再需要色彩鮮豔的花瓣、花蜜和氣味。","Since wind-pollinated folwers have no need to attract insects or other animals, they have dispensed with bright petals, nectar, and scent."
"由於缺乏古典的石材雕刻和建築的傳統，開發羅馬風格的便利設施的心願原本是很難實現的。","In the absence of a tradition of classical stone-carving and building, the desire to develop Roman amenities would have been difficult to fulfill."
"在遙遠偏僻的鄉村，在農村地區，音樂更傳統；幾代人都在聽同樣的歌曲。","Out in remote areas of the countryside, in reral locations, music was more traditional; the same songs were enjoyed by previous generations."
"在一千年後的後半段，在烏魯克城南部，被永久定居點佔用的地域在大幅度增長。","In the second half of the millennium, in the south around the city of Uruk, there was an enorumous escalation in the area occupied by permanent settlements."
"提到化石，我們指的是史前生物的遺跡，比如說已經礦化的骨頭，或者是骨頭或器官在石頭上留下的印記。","By fossils, we mean traces of prehistoric animals such as bones, which become mineralized, or impressions of bones or organs that are left in stone."
"借助微處理器和電腦儲存裝置，使電子控制裝置的運用成為可能，該運用成倍地增加了現代打字機的功能。","The application of electronic controls made possible by the microprocessor and computer storage have muliplied the uses of the modern typewriter."
"即便文學語言中描述的英雄所具備價值的確切會隨時代變化，但英雄基本的模範作用似乎是保持不變的。","Even though the precise qualities of hero in literacy words may vary over time, the basic exemplary function of the hero seems to remain constant."
"當亨利·福特最初為製造汽車尋求資金時，人們覺得「農民和一般職員都能擁有汽車」這種想法太可笑了。","When Henry Ford first sought financial backing for making cars, the very notion of farmers and clerks owning automobiles was considered ridiculous."
"很多想要成為考古學家的人最後都從事了其他的職業，只作為無償的業餘愛好者對考古研究做出貢獻。","Many people who wanted to become archaeologists ended up pursuing other careers and contributing to archaeological research only as unpaid amateurs."
"甚至在發現細菌以前，疾病透過「瘴氣」（有毒的惡性氣體），傳播的觀點就已經激起人們對排水溝和露天垃圾的關注。","Even before the discovery of germs, beliefs that disease spread by 'miasmas' (noxious forms of bad air) prompted attention to sewers and open garbage."
"因為顧客認為最好的水果應該是看起來最吸引人的，所以種植者必須提供能夠滿徂顧客挑剔眼光的產品。","Since the consumer considers the best fruit to be that which is the most attrative, the grower must provide products that satisfy the discerning eye."
"沒有了海洋溶解二氧化碳，排出的二氧化碳開始在大氣中累積，近一步加劇了溫室效應。","With no oceans to dissolve it, outgassed carbon dioxide began to accumulate in the atmosphere, intensifying the greenhouse effect even more."
"建築物為人類生活貢獻許多，它們提供遮蔽場所，豐富活動空間，完善人們的居所，使人們適應氣候，同時在經濟上使人覺得可以負擔。","Buildings contribute to human life when they provide shelter, enrich space, complement their site, suit the climate, and are economically feasible."
"對風暴動力學的研究旨在提高對這類風暴事件的預測能力，從而減少損失，避免人員傷亡。","Research into the dynamics of storms is directed toward improving the ability to predict these events and thus to minimize damage and avoid loss of life."
"它們呈現流線型的身體，後腿的消失，和尾片和氣孔的出現，這些特徵都不能掩飾他們和陸生哺乳動物的相似之處。","Their streamlined bodies, the absence of hind legs, and the presence of a fluke and blowhole cannot disguise their affinities with land dwelling mammals."
"科學家們不知道恐龍為何滅絕了，但是一些理論推斷這是地理、氣候和海平面的變化所造成的。","Scientists do not know why dinosaurs became extinct, but some theories postulate that changes in geography, climate, and sea levels were responsible."
"消除通貨膨脹，可確保用來償還貸款的錢與借貸的錢價值相等。","The elimination of inflation would ensure that the amount of money used in repaying a loan would have the same value as the amount of money borrowed."
"未來主義是 20 世紀早期的一股藝術思潮，它拋棄一切傳統，試圖透過強調機械和運動來沒畫當代生活。","Futurism, and early twentieth-century movement in art, rejected all traditions and attempted to glorify contemporary life by emphasizing the machine and motion."
"酸是一種化合物，在溶於水時，它具有強烈的氣味，對金屬有腐蝕作用，並且能夠使某些藍色植物染料變紅。","Acids are chemical compounds that, in water solution, have a sharp taste, a corrosive action on metals, and the ability to turn certain blue vegetable dyes red."
