"生蔓越莓不會影響你的血糖，但添加甜味劑的蔓越莓乾，即使是低糖也會影響血糖。","Raw cranberries don't affect your blood sugar, but sweetened dried cranberries do, even the low sugar varieties."
"雖然有 5% 的蔓越莓是新鮮出售的，但大多數是經過加工的蔓越莓產品。","Although 5% of cranberries are sold fresh, the vast majority are consumed as processed products."
"問題是生蔓越莓太酸了，人們可能會選擇蔓越莓乾。","The problem is that raw cranberries are so tart that folks may opt for the dried."
"你得喝 16 杯蔓越莓汁雞尾酒、吃 7 杯蔓越莓乾或 26 罐蔓越莓醬。","You'd have to drink 16 cups of cranberry juice cocktail, eat 7 cups of dried cranberries, or 26 cans of cranberry sauce."
"但只要加入少量的蔓越莓，就能抑制癌細胞的增長。","But by adding just a smidgen of cranberries, or two smidgens, you can see they block that exponential cancer growth."
"除了體外抑制肝癌生長之外，蔓越莓針對乳腺癌、結腸癌、腦瘤、口腔癌、卵巢癌的癌細胞，也能起到類似的抑制作用。","In addition to suppressing liver cancer growth in vitro, cranberries have often been found to have similar effects against human breast, colon, brain tumor, oral, and ovarian cancer cells."
"他們用如此低的濃度進行測試，主要是因為我們攝取的蔓越莓植物營養素，只有極少量能被血液吸收。","The reason they tested such tiny concentrations is that we only absorb a small fraction of the cranberry phytonutrients we eat into our bloodstream."
"為了找到靈丹妙藥，他們針對不同的癌症進行了不同劑量的測試。","So different fractions were tested against various types of cancer to find the magic bullet."
"問題是蔓越莓乾通常添加了甜味劑。","The problem is dried cranberries tend to come sweetened."
"所以如何去蕪存菁呢？","So how do you get the upsides without the down?"
"我不喜歡太甜的茶，所以可以請你加一丁點糖就好嗎？","I don't like sweet tea, so could you add just a smidgen of sugar, please?"
"人們應該停止找尋靈丹妙藥，然後過個健康點的生活。","People should stop looking for a magic bullet and just live healthier lives."
"我「真開心」可以在這裡，我愛極了週五晚上還在辦公室呢！","I'm quote unquote so happy to be here; I love being at work on a Friday night!"
"老闆呢？我以為他會來參加會議。","Where is the boss? I thought he was coming to the meeting."
"他整個下午都忙著參加視訊會議。","He has been tied up in a conference call all afternoon."
"老闆要你做什麼？","What did the boss want from you?"
"我們被要求在下個月的公司派對上表演。","We have been asked to perform at the office party next month."
"艾菲爾鐵塔被全球各地的人造訪。","The Eiffel Tower has been visited by people from all over the world."
"行銷團隊被指派執行一項大計畫。","The marketing team has been assigned to work on a big project."
"旅館由內而外都被上了一層新油漆。","This hotel has been given a fresh coat of paint inside and out."
"我最近在吃這些聲稱會幫我減重的藥。","I've been taking these pills that are supposed to help me lose weight."
"真的嗎？那些藥物通常對人體都不好。","Seriously? Those pills are usually not good for you."
"感覺好像奏效了，我也沒感受到副作用。","It seems to be working and I haven't had side effects."
"它會抑制我的食慾，讓我不要吃太多。","It's suppressing my apetite so I don't eat so much."
"那感覺起來不健康，或許你應該選擇少吃點加工食物。","That doesn't seem healthy. Maybe you should opt for less processed food instead."
"但那需要很多的努力，我也真的很喜歡垃圾食物！","But that takes a lot of effort and I really like junk food!"
"它簡直像是減重的魔力子彈！","This is like the magic bullet for weight loss!"
"那些藥品總是標榜這些，但他們傾向會隱藏一些長期的副作用。","They always say that, but they tend to hide the long-term side effects."
"嗯，到目前為止我只有看到成效。","Well, so far I can only see the upside."
"由於社會多數人認為性吸引力十分重要，因此無性戀者常遭受排斥，甚至因為他們的性取向而被憐憫。","Because most of society deems sexual attraction important, asexuals are often ostracized, even pitied for their sexual orientation."
"無性戀者不需要你的憐憫。他們需要你的理解。","Asexual people don't need your pity. They need your understanding."
"無性戀不是禁慾。","Asexuality is not celibacy."
"無性戀有時可以與其它性取向結合。","Asexuality can sometimes work in tandem with another orientation."
"與其它性取向一樣，每位無性戀者都各有不同。","Just as with other sexualities, asexuality is different for every individual."
"無性戀者可能會因為要求性活躍的社會壓力而感到焦慮，但性本身並不是焦慮點。","Asexual people may feel anxious about societal pressure to be sexually active, but sex itself is not an anxiety."
"無性戀是一種與異性戀、同性戀，或雙性戀一樣的性取向。","Asexuality is a sexual orientation that falls in line with heterosexuality, or homosexuality, or bisexuality."
"禁慾是某一個人所做的決定。","Celibacy is a decision that an individual makes."
"是一種禁止性行為的選擇。","It is the choice to refrain from sexual conduct."
"許多人會將無性戀與性厭惡（SAD）搞混，而 SAD 是一種因懼怕而持續逃避性行為的心理疾病。","Many people confuse asexuality with disorders like sexual aversion disorder or SAD, which is a persistent and fear-based avoidance of sexual contact."
"SAD 患者通常在發生性行為時感到苦惱或是恐慌。","People with SAD often experience distress or panic during sex."
"無性戀是一個性別光譜，不是每個人都落在同一個區域。","Asexuality is a spectrum and not everyone lies on the same notch on the scale."
"身為大人之間唯一的小孩，那個男孩真的感到非常不自在。","Being the only child among the adults, the boy really feels out of place."
"這區的房價和全國平均房價雷同。","House prices in this area fall in line with the national average."
"我希望這兩個小組同時處理這個專案。","I want these two groups to work in tandem on this project."
"無性戀廣泛被定義為性吸引力的缺乏。","Asexuality is broadly defined as a lack of sexual attraction."
"一位自我認同為無性戀者的人也可能受其他人吸引。","An individual can identify as asexual but can be romantically attracted to other people."
"什麼？這個企劃我也要參與？可是我根本不知道我該做什麼。","What? I am also involved in this project? But I don't even know what I should do."
"別擔心，你在專案中的角色定位將會被明確定義。","Don't worry; your role in the project will be clearly defined."
"你才剛升上主管，所有同事就已經很敬佩你的能力了，你的人生好成功啊！","You just got promoted to manager and all your colleagues admire your abilities. What a successful life you lead!"
"但我還蠻討厭自己只被工作所定義的感覺。","I'd hate to feel that I am defined by my job, though."
"任何沒有在三月 31 日前繳交註冊費的人，都將被視為放棄這份機會。","Anyone who doesn't pay the registration fee by March 31 will be deemed to have passed on the offer."
"他很在意女生的外貌，而我不對女性感到任何肉體上的吸引力。","He cares about a woman's looks, while I'm not physically attracted to women."
"按照法律規定，飛機必須攜帶應答器，以便識別。","Aircraft are required by law to carry special electronic devices called transponders so that they can be identified."
"Pauline，你為什麼要這樣盯著那位女性？怎麼了嗎？","Pauline. Why are you looking at that woman like that? Anything wrong?"
"穿著如此華麗迷人，你不覺得她在自助洗衣店裡實在格格不入嗎？","That glamorous woman seems radically out of place in the laundromat, don't you think?"
"她是看起來有點打扮過頭了。","She does seem a bit overdressed."
"但我想就算只是要去自助洗衣店，盛裝打扮也沒有什麼錯。","But I guess there's nothing wrong with dressing up, even if you're just going to the laundromat."
"我想你說得對，只是不同社會價值罷了。","Well, you're right. It's just different societal values, I guess."
"的確，誰說穿得奢華就不能出現在自助洗衣店呢？","Exactly. Who says that a person in a luxurious outfit cannot turn up in a laundromat?"
"不過，她真的看起來深陷情緒困擾中。","However, she does look like she's in deep emotional distress."
"我想我們不該繼續盯著她看，或許我們可以看看這裡有沒有人可以幫助她。","I think we should refrain from staring at her and see if someone is here with her who can support her."
"你說得對，我們不該再盯著她瞧了，我覺得她是跟那位男性一起來的，希望他會安撫她。","You're totally right. We shouldn't stare. I think she came with that man. Hopefully he will comfort her."
"BBC 將會避免播放喜劇節目以示尊敬，直到葬禮結束之後。","And the BBC will refrain from playing comedy shows as a sign of respect until after the funeral."
"在上午 11 點整的時候，大笨鐘的鐘聲會響起。英國會陷入緘默。而棺材將會被送入西敏寺教堂，2,000 為特邀賓客將會在那裡低頭祈禱。","At 11 a.m. sharp, the bells of Big Ben will chime. The country will fall silent. And the coffin will be brought inside Westminster Abbey, where 2,000 specially invited guests will bow their heads in prayer."
"總結各方面來說，數個銀行假日、葬禮開銷以及加冕典禮的慶祝活動，女王的逝世預計將使英國經濟花費數十億英鎊。","All in all, accounting for the multiple bank holidays, funeral expenses, and coronation celebrations, the Queen's passing is estimated to cost the UK economy billions of pounds."
"新的英國貨幣將印上國王的肖像，而印有女王的貨幣將慢慢被淘汰。同樣會影響的還有郵票、護照和軍警制服。","New British currency will be printed with the King's portrait, and the Queen's currency will slowly be removed from use. The same will happen for stamps, passports, and police and military uniforms."
"「倫敦橋行動」將會被啟動，而大概是我們此生遇過最盛大的葬禮將會為全世界共同見證。","Operation London Bridge will be triggered, and arguably the biggest funeral of our lifetime will be witnessed around the world."
"而訊息的內容很可能會是「倫敦橋塌了」。","That message will likely read 'London Bridge is down.'"
"而白金漢宮的大門將以一塊黑邊告示揭開這則消息。","The gates of Buckingham Palace will then don a black-edged notice of the news."
"所有 BBC 的節目都會暫停，緊急播放一系列的專門報導。","All BBC shows will stop and proceed to run a feed dedicated to the news."
"股市交易將會在兩週內關閉第二次，而許多企業也將效仿。","The stock exchange will close for a second time in under two weeks, and many businesses will follow suit."
"這可能會引起其他國家仿效，並無疑地削弱英國的君主制。","This could lead other countries to follow suit, which would almost certainly weaken the British monarchy."
"一旦一家航空公司降低票價之後，其餘同業也會跟風。","When one airline reduces its ticket prices, the rest usually follows suit."
"這些八Ｏ年代的電影一定能啟發往後未來的世代。","These films from the 80s will inspire many for generations to come."
"緊急救難服務在足球賽期間是隨時可獲取的。","The emergency services were on hand at the football match."
"在幾分鐘內，15 個以女王為元首的英國境外政府將會透過保密專線得到通知。","Within minutes, the 15 governments outside of the UK where the Queen is head of state will be informed over a secure line."
"我今天沒什麼計劃。你覺得我們可以去哪？","I have no plans for today. Where do you think we could go?"
"那有個大公園，我們可以整個下午都在那裡放鬆。","There's a big park over there, where we can spend the entire afternoon relaxing."
"你是在哪拍這張照片的？","Where did you take the picture?"
"那張照片是在我以前常去玩的公園拍的。","That picture was taken in the park where I used to play."
"那是我們第一次相遇的餐廳。","That's the restaurant where we met for the first time."
"那是間餐廳，我們或許可以在那裡吃一頓好的。","That's a restaurant, where we could probably have a proper meal."
"我們當初結婚的地方要結束營業了。","The place where we got married is going out of business."
"我跟我家人都有菸癮。但我最近想要戒掉這個壞習慣。","My family and I are all smokers. But lately I really feel like quitting this bad habit."
"你真的應該忍住不要再抽了。那對你健康有害。","You really should refrain from smoking. It's bad for your health."
"我知道。謝啦。我會開始嘗試。","I know. Thanks. I'll start trying that."
"我想我應該先戒菸，然後其他人就會跟進。","I think I'll quit first, and others will follow suit."
"好主意！你可以採取主動。","Great idea! You could take the initiative."
"對。我希望我可以幫他們一起戒菸。","Yes. I hope I can help them to quit smoking, too."
"或許在未來的幾個月，我家人跟我全都會戒菸成功。","Maybe in the months to come, my family and I will all be non-smokers."
"我很確定那會成真的。","I'm sure that will happen."
"謝啦。我很有信心這次我們一定做得到。","Thanks. I'm pretty confident that we can do it."
"然後你會從核桃中嚐到堅果和酥脆的口感。","And then you get the nuttiness and crunchiness from the walnuts."
"目前為止，這三種餅乾裡，這是我最不喜歡的，不過這只是因為我不習慣。","So as of right now, three out of the four cookies in, this will have to be my least favorite just because it's not what I'm used to."
"在沒有社交軟體的時代，這些餅乾是靠著口耳相傳而受歡迎的，從紐約市開始傳到其他縣市。","In a time with no social media, the cookies' popularity grew by word of mouth, stretching from New York City and beyond."
"每一天，餅乾的麵團都是在 Levain 位於哈林區的地點所製作，之後再運送到其他分店進行烘烤。","Every day, the cookie dough is made in Levain's Harlem location, then shipped to every other location to be freshly baked."
"巧克力花生醬、雙倍巧克力、燕麥葡萄乾，及 Levain 的銷售冠軍巧克力核桃。","Chocolate peanut butter, double chocolate, oatmeal raisin, and chocolate chip walnut, which is Levain's top seller."
"快轉至 25 年後，你可以在所有 Levain 的六家烘焙坊找到源源不絕的遊客、馬拉松選手和經驗老道的紐約客。","Fast-forward almost 25 years, and you can find perpetual lines of tourists, marathoners, and seasoned New Yorkers at all six Levain Bakeries."
"當地人及遊客為了這間世界有名的餅乾蜂擁而至。","Locals and tourists flock here for the world-famous cookies."
"我們都知道這裡的巧克力核桃餅乾是紐約市最好吃的巧克力餅乾，但是其他餅乾嚐起來如何呢？","We all know that the chocolate chip walnut cookie here is the best chocolate chip cookie in New York City, but how do the other three cookies taste?"
"這些是在我腦海浮現的問題，我現在要來解答了。","These are all questions that I have posited in my brain, and I'm here to answer those questions."
